조회년도,조회월,항만명,입출항구분,Measures,합계,육 류,어패류.갑각류 등,양 곡,제분공업 생산품,기타동.식물성 생산품,동.식물성 유지류,당 류,조제식품.음료.주류등,시멘트,모 래,무연탄,유연탄,철광석,기타광석 및 생산품,원유(역청유). 석유,석유 정제품,석유가스 및 기타가스,비 료,화학공업 생산품,플라스틱.고무및 제품,피혁류 및 그제품,원 목,목재.목탄.코르크 등,방직용섬유 및 그제품,고 철,철강 및 그제품,비철금속 및 그제품,기계류 및 그부품,전기기기 및 그부품,차량 및 그부품,항공기.선박 및 부품,기 타
2017,1,광양,입항,총계,15352258,376.0,773.0,1853.0,4226.0,115620.0,9854.0,640.0,65554.0,241865.0,24012.0,31009.0,2395626.0,3013227.0,1017826.0,3921741.0,2500649.0,509502.0,83521.0,401909.0,33627.0,196.0,617.0,130032.0,336743.0,40368.0,170496.0,20002.0,52869.0,56695.0,9320.0,499.0,161011.0
2017,1,광양,출항,국적선,740392,0.0,71.0,0.0,0.0,239.0,126.0,66.0,3101.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,165520.0,15897.0,0.0,82612.0,30991.0,355.0,0.0,0.0,59717.0,310.0,357947.0,344.0,1353.0,166.0,38.0,20.0,21370.0
2017,1,광양,출항,외국선,4254843,108.0,68.0,156.0,2285.0,2057.0,370.0,2120.0,10838.0,0.0,0.0,0.0,0.0,369.0,42823.0,397067.0,1717421.0,37826.0,35082.0,249719.0,237191.0,5333.0,21.0,5001.0,309617.0,1113.0,740356.0,13244.0,72858.0,17766.0,148052.0,298.0,205684.0
2017,1,광양,출항,수출입계,4995235,108.0,139.0,156.0,2285.0,2296.0,496.0,2186.0,13939.0,0.0,0.0,0.0,0.0,369.0,42972.0,397067.0,1882941.0,53723.0,35082.0,332331.0,268182.0,5688.0,21.0,5001.0,369334.0,1423.0,1098303.0,13588.0,74211.0,17932.0,148090.0,318.0,227054.0
2017,1,광양,출항,연안선,1575999,0.0,0.0,0.0,0.0,173.0,0.0,0.0,1052.0,50120.0,0.0,0.0,0.0,0.0,235310.0,0.0,876441.0,26141.0,0.0,92661.0,6926.0,36.0,0.0,0.0,19968.0,85.0,247413.0,1199.0,800.0,18.0,53.0,0.0,17603.0
2017,1,광양,출항,총계,6571234,108.0,139.0,156.0,2285.0,2469.0,496.0,2186.0,14991.0,50120.0,0.0,0.0,0.0,369.0,278282.0,397067.0,2759382.0,79864.0,35082.0,424992.0,275108.0,5724.0,21.0,5001.0,389302.0,1508.0,1345716.0,14787.0,75011.0,17950.0,148143.0,318.0,244657.0
2017,1,광양,입항환적,국적선,955,0.0,0.0,0.0,0.0,29.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,22.0,290.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0
2017,1,광양,입항환적,외국선,911089,0.0,1609.0,1003.0,50.0,6261.0,1947.0,291.0,20766.0,0.0,0.0,92.0,0.0,0.0,4642.0,647538.0,33330.0,0.0,1128.0,21054.0,10423.0,118.0,1525.0,38776.0,5060.0,126.0,13211.0,14964.0,7819.0,21624.0,37267.0,0.0,20465.0
2017,1,광양,입항환적,수출입계,912044,0.0,1609.0,1003.0,50.0,6290.0,1947.0,313.0,20766.0,0.0,0.0,92.0,0.0,0.0,4642.0,647538.0,33330.0,0.0,1128.0,21054.0,10919.0,118.0,1525.0,38798.0,5350.0,126.0,13211.0,14964.0,7819.0,21720.0,37267.0,0.0,20465.0
2017,1,광양,입항환적,연안선,476974,0.0,49.0,0.0,154.0,137.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,15480.0,0.0,0.0,0.0,0.0,9270.0,2929.0,0.0,0.0,0.0,8304.0,0.0,1843.0,5749.0,32460.0,8523.0,389565.0,0.0,2482.0
2017,1,광양,입항환적,총계,1389018,0.0,1658.0,1003.0,204.0,6427.0,1947.0,313.0,20795.0,0.0,0.0,92.0,0.0,0.0,20122.0,647538.0,33330.0,0.0,1128.0,30324.0,13848.0,118.0,1525.0,38798.0,13654.0,126.0,15054.0,20713.0,40279.0,30243.0,426832.0,0.0,22947.0
2017,1,광양,출항환적,국적선,4004,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0
